id,title,description,availability,condition,price,link,image_link,brand
317038-camisa-maria-serena,317038 - CAMISA MARIA SERENA,Sobre essa peça: Composição: 100% algodão. Descrição Camisa manga longa em puro algodão com bordado peixinhos marinho nos punhos e abotoamento.,in stock,new,390.00 BRL,https://mariasetal.com/317038-camisa-maria-serena,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/b79b82db-cfd7-4018-aeec-7a4edfd28bfd.png,Marias & Tal
317039-bermuda-maria-zilda-,317039 - BERMUDA MARIA ZILDA ,Sobre essa peça: Composição: 100% algodão. Descrição,in stock,new,318.00 BRL,https://mariasetal.com/317039-bermuda-maria-zilda-,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/20596c93-0099-41c7-8ef3-229b33a5d8c1.jpg,Marias & Tal
317043-vestido-isabelita,317114  - VESTIDO LINDA MARIA,"Sobre essa peça: Composição: 100% algodão. Descrição: Vestido longo com alcinhas em tecido, algodão xadrez fio tinto detalhes em listras bem fininhas.",in stock,new,237.00 BRL,https://mariasetal.com/317043-vestido-isabelita,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/7f36864d-9975-4e0b-8c3d-086ecd7bc603.jpg,Marias & Tal
317043-vestido-isabelita-a313,317043 - VESTIDO ISABELITA,Vestido 100% algodão longo com as alças finas,in stock,new,423.00 BRL,https://mariasetal.com/317043-vestido-isabelita-a313,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/029f1005-3f47-4af5-afdf-c482286abdf2.jpg,Marias & Tal
317043-vestido-isabella-,317056 - VESTIDO ISABELLA,Sobre essa peça: Composição: 100% algodão. Descrição: Vestido longo em algodão com bordados flores e rendas.,out of stock,new,447.00 BRL,https://mariasetal.com/317043-vestido-isabella-,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/bd16ee12-0036-446b-af2b-ac5e1eda1933.png,Marias & Tal
317044-calca-maria-patricia,317044  - 	CALÇA MARIA PATRICIA,Sobre essa peça: Composição: 100% algodão. Descrição: calça pantalona cambraia de algodão bordado e acabamento em festone na barra.,in stock,new,327.00 BRL,https://mariasetal.com/317044-calca-maria-patricia,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/c109cc17-e533-4cf6-b0e5-71426ae478aa.jpg,Marias & Tal
317046-short-maria-valeria-,317045 - CAMISA MARIA ZARA ,Sobre essa peça: Composição: 100% algodão. Descrição: Short em cambraia de algodão bordado com amarração e acabamento com testoni na barra.,in stock,new,241.00 BRL,https://mariasetal.com/317046-short-maria-valeria-,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/bf34fdba-f650-4ab0-864b-1bd4c982ec71.jpg,Marias & Tal
317046-short-maria-valeria-1,317046  -	SHORT MARIA VALERIA,Sobre essa peça: Composição: 100% algodão. Descrição: Short em cambraia de algodão bordado e acabamento em festone na barra.,in stock,new,222.00 BRL,https://mariasetal.com/317046-short-maria-valeria-1,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/46a2cf5d-bba0-4248-9d5a-6a03cdccb185.png,Marias & Tal
317057-camisa-maisa-,317057 - CAMISA MAÍSA,Sobre essa peça: Composição: 100% algodão. Descrição: Camisa em algodão listradinho com bordados e rendas.,in stock,new,396.00 BRL,https://mariasetal.com/317057-camisa-maisa-,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/974bbc3f-4d13-41f6-a65f-60802c647362.png,Marias & Tal
317059-blusa-evelyn1,317059 - BLUSA  EVELYN,Sobre essa peça: Composição: 100% Viscose Descrição: Blusa sem mangas com amarração na cintura em tecido leve com estampa bicolor.,in stock,new,281.00 BRL,https://mariasetal.com/317059-blusa-evelyn1,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/3d03c8c2-058e-4034-9a34-6ebe326bc98b.jpg,Marias & Tal
317060-calca-dinah1,317060 - CALÇA DINAH,Sobre essa peça: Composição: 100% VISCOSE Descrição: Calça com elástico na cintura super confortável em tecido leve com estampa bicolor.,in stock,new,318.00 BRL,https://mariasetal.com/317060-calca-dinah1,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/9eebcd20-782c-46b9-bce3-cb8795b37966.jpg,Marias & Tal
317061-kaftan-alika,317061 - KAFTAN ALIKA,100% VISCOSE,in stock,new,387.00 BRL,https://mariasetal.com/317061-kaftan-alika,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/fd8add2c-bec1-4acf-b69b-1c6d15b9fa1f.png,Marias & Tal
317064-chemise-andrea-,317064 - CHEMISE ANDREA,"Sobre essa peça: Composição: 100% algodão. Descrição: Chemise em puro algodão listras, com manga longa abotoamento frontal bordado no bolso e botões exclusivos em listras navy.",in stock,new,468.00 BRL,https://mariasetal.com/317064-chemise-andrea-,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/e2c3582b-7965-4982-a6f1-ac4c2df46c7d.png,Marias & Tal
317067-camisa-muriel,317067 - CAMISA MURIEL,"Sobre essa peça: Composição: 100% algodão Descrição Camisa manga longa em algodão listras fio tinto com bolso bordado âncora e rendinha,",in stock,new,336.00 BRL,https://mariasetal.com/317067-camisa-muriel,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/856c7b90-b128-407c-ba3b-7b30250e1ead.png,Marias & Tal
317068-vestido-lais,317068   -   VESTIDO LAIS,Sobre essa peça: Composição: 100% VISCOSE Descrição: Vestido t-shirt listras em tecido leve com bolso aplicado em croche.,out of stock,new,270.00 BRL,https://mariasetal.com/317068-vestido-lais,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/fabe924b-5eb5-4d47-8841-1012b2a47252.png,Marias & Tal
317069-chemise-ayla-,317069 - CHEMISE AYLA ,Sobre essa peça: Composição: 100% ALGODÃO,in stock,new,441.00 BRL,https://mariasetal.com/317069-chemise-ayla-,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/fe826414-ac00-45ec-89e3-a541d8b00298.png,Marias & Tal
317070-vestido-lilia-,317070 - VESTIDO LILIA,Sobre essa peça: Composição: 100% ALGODÃO,in stock,new,543.00 BRL,https://mariasetal.com/317070-vestido-lilia-,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/e63daed9-10f8-4248-8da5-e79e4025b18b.png,Marias & Tal
317071-camisa-deise,317071 -  CAMISA DEISE,Sobre essa peça: Composição: 100% ALGODÃO Descrição: Camisa manga curta bolsos bordados e gola com pontinhos feitos manualmente em algodão estampado com uma leve textura.,in stock,new,300.00 BRL,https://mariasetal.com/317071-camisa-deise,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/9003f873-35a7-4dfb-8dfd-cee11447e32a.png,Marias & Tal
317072-bermuda-maia,317072 - BERMUDA MAIA,"Sobre essa peça: Composição: 100% ALGODÃO Descrição: Bermuda em algodão estampado com uma leve textura, elástico na cintura e pontinhos feitos manualmente nos bolsos.",in stock,new,252.00 BRL,https://mariasetal.com/317072-bermuda-maia,https://cdn.zyrosite.com/cdn-ecommerce/store_01KN06ASZGYJV6M41ASZJ5XQ08/assets/3f4735d1-9e89-4e6e-8cb5-b3812fd05e19.png,Marias & Tal
